COUNTRY_DOM,PA_AREA,TOTAL_AREA
AF,673.16062,642899.1
AX,0,1580
AL,4948,28746.6
DZ,174220,2324458.6
AS,9,210.6
AD,100,471.9
AO,87507,1255217.9
AI,5,85.5
AG,88,455.2
AR,247700,2785327.7
AM,6860,29685.4
AW,1,189.4
AU,1311457,7722102
AT,23868,83912.3
AZ,8798,86639.6
BS,4199,13458
BH,46,686.9
BD,6456,140160.2
BB,6,444.1
BY,19710,207228.1
BE,7123,30683.1
BZ,8402,22297.8
BJ,33519,116095.4
BM,4,72.5
BT,19171,39933.5
BO,336406,1089908.9
BQ,103,322.9
BA,744,51225.2
BW,169370,581162.9
BV,44,50.6
BR,2468479,8529399.2
IO,69,69
VG,15,175.6
BN,2794,5961.7
BG,38459,110862.7
BF,41695,276403.7
BI,2066,27210.9
KH,47503,182510.9
CM,49762,469428.1
CA,964191,9955032.9
CV,108,4149
KY,31,289.3
CF,112827,624568
TD,259842,1276586
CL,139815,759821
CN,1599092,9361608.9
CX,88,142.4
CC,0,0
CO,162113,1145032.9
KM,173,1701.1
CD,297828,2344275.1
CG,139539,343736.7
CK,4,258.1
CR,14253,51636.1
CI,74171,324107.7
HR,21665,56855.9
CU,18480,111643.3
CW,70,451
CY,1690,9063.4
CZ,16897,77916.9
DK,7955,45314.4
DJ,344,21843.7
DM,169,766.2
DO,11167,48509.8
TL,1959,15006.5
EC,51696,258138.7
EG,129394,984997.5
SV,1806,20573.3
GQ,5228,27136
ER,5936,121834.4
EE,9163,45416.5
ET,209770,1135429.2
FK,61,12400.9
FO,34,1450.6
FM,35,817.2
FJ,1035,19155
FI,50442,337725.5
FR,142875,548954.1
GF,43976,83034.5
PF,74,3780.1
TF,7685,7855.4
GA,53594,266044.6
GM,442,10757.9
GE,5829.381162,69972
DE,134745,357584.4
GH,36196,240330
GI,2,7.5
GR,46507,133012.3
GL,885647,2154016.5
GD,35,373.6
GP,1222,1678.5
GU,123,561.2
GT,34896,109922.3
GG,1,85.6
GN,75605,246426.8
GW,5668,34015.7
GY,18454,211200.3
HT,74,27390.2
HM,391,391.2
HN,32220,113291.5
HK,462,1102.5
HU,21052,93142.5
IS,17845,102301.8
IN,182647,3061193.5
ID,226249,1906555
IR,140226,1627857.2
IQ,6746,437830.5
IE,10130,70128.4
IM,22,582.2
IL,4180,20958
IT,64806,301335.3
JM,1760,11058.9
JP,72408.3,374092.8
JE,17,125.2
JO,1552,89689.8
KZ,89295,2719827.9
KE,72544,586770
KI,231,1032.6
KW,3048,17417.9
KG,13026,199957
LA,38582,231276.1
LV,11720,64501.9
LB,268,10329
LS,79,30495
LR,2411,96634.4
LY,3438,1622615.4
LI,71,167.1
LT,10962,64696.5
LU,840,2603.1
MO,0,0
MK,2456,25443.1
MG,31214,594718.7
MW,20080,118859.7
MY,63474,331700.6
MV,3,304.7
ML,103445,1256684.1
MT,77,325
MH,34,281.9
MQ,795,1149.9
MR,6508,1046302.5
MU,98,2062.5
YT,48,396.4
MX,280533,1965284.8
MD,1410,33963.8
MC,1,1.6
MN,272511,1565864.2
ME,562,13847.6
MS,11,100.7
MA,125477,407280.5
MZ,170820,791081.9
MM,48278,673078.6
NAM,313534,827465.4
NR,0,0
NP,34898,147709.5
NL,3989,35205.6
NC,10414,19141
NZ,87759,269651.7
NI,48105,129222.3
NE,206091,1190098.7
NG,127359,914306.1
NU,26,267.8
NF,4,42.8
KP,2976,122186.1
MP,38,501.2
NO,55194,325287.8
OM,7985,310373.1
PK,98288,798143.7
PW,140,501.1
PA,15773,75497.9
PG,14330,467405.9
PY,26139,401498.4
PE,276192,1298537
PH,45762,298774.9
PN,43,45.6
PL,123587,311923.5
PT,21158,92141.1
PR,673,9041.1
QA,280,11435.6
RO,57824,237452.9
RU,1640156,16874835.5
RW,2320,25452.1
RE,1936,2536.3
BQ,103,322.9
BL,9,25.1
SH,157,434.3
KN,9,270.8
LC,117,622.3
MF,10,59.6
PM,7,237.6
VC,92,409.9
WS,196,2893.9
SM,0,0
ST,289,989.3
SA,83694,1934058.3
SN,49888,197924
RS,5443,88509.1
SC,205,486.9
SL,6825,72709
SG,34,604.6
BQ,103,322.9
SX,0,36.5
SK,18247,48941.2
SI,10894,20308.5
SB,645,29191.6
SO,5278,637991.6
SO,5278,637991.6
ZA,172965,1224384.6
GS,3972,3971.7
KR,11202,99712.9
SS,98215,633580.5
ES,142071,507013.4
LK,19898,66631.5
SD,42698,1871251.8
SR,21426,147558.4
SJ,40092,61261.1
SZ,710,17335.9
SE,65039,449390.2
CH,3991,41355.3
SY,1293,188612.6
TW,7146,36245.3
TJ,31690,142244.2
TZ,361087,947252.7
TH,97391,517786.6
TG,15877,57480.6
TK,1,15.2
TO,122,766.5
TT,1595,5213.1
TN,12283.95102,155230.8
TR,1709,782238.9
TM,15336,472137.5
TC,452,1018.2
TV,1,41.8
UG,39059,243144.9
UA,23736,598828.8
AE,9267,70921.5
US,1230637,9490391.3
VI,55,375.6
UY,6242,178459.9
UZ,15200,450362.5
VU,528,12575.1
VA,0,0
VE,496701,917367.7
VN,24994,329880.4
WF,0,180.6
EH,15270,268339.2
YE,3520,455938.9
ZM,287514,755640.4
ZW,106837,392573.2
UK,69790.28,245247.6
PS,516.77,6181.99
