PIXELS,LC,COUNTRY_ID
705675,210,240
62239,210,239
28935177,220,240
4064296,150,240
87621,200,240
406106,140,240
54901,210,187
204509,150,187
62772,220,187
51249,140,187
4685,200,187
110148,150,239
1056,200,239
21855,140,239
2956650,220,37
18004578,210,37
17030293,150,37
5652436,200,37
98498,210,39
51160,200,39
143520,150,39
19629563,140,37
1104,200,40
5538,210,186
1218,200,185
86659,150,185
13346,210,185
208752,201,37
40857,220,185
12831,140,185
3933327,130,37
12452,210,522
135921,220,522
44982,150,522
10449,200,522
328,150,186
9445,220,239
17767,210,466
6837,220,466
3058,210,465
13368,150,466
251,150,465
3559,200,466
23759,210,40
5843870,210,265
17504443,150,265
242243,220,265
4514185,200,265
14949,220,268
54830,200,268
67580,210,268
53352,200,267
51747,150,267
79494,150,268
88870,210,267
10477,150,521
6535,210,521
8188,200,521
64057,220,521
547,140,521
1995279,140,265
9976579,180,265
3251295,120,265
13066925,130,265
6263,130,39
179989,140,39
228,150,266
4774,210,266
1751,153,37
154,210,443
3400,210,445
150720,200,38
120268,210,38
357488,140,38
250211,150,38
2989,150,445
354,200,266
2657,200,445
17257,120,267
14301,210,442
62080,150,442
279825,200,442
536001,220,442
50,200,443
41,150,443
20751,220,444
2125,210,444
21678,200,444
20969,140,442
15528,180,442
3203,150,444
1339,180,522
824,130,442
467,220,445
47511,130,268
22886,140,268
11504,220,38
39219,120,268
8757,140,267
27831,130,267
21,60,442
64677,180,268
10523,180,466
7500,120,442
550,180,445
34588,122,268
60,120,445
65,140,445
4230,90,268
28345,122,267
8940440,122,265
87961,180,267
220306,200,618
69722,210,618
66189,140,618
43153,210,41
536187,200,41
186395,150,41
253162,120,618
197301,150,618
30630,180,618
34153,122,618
44817,220,618
148107,140,41
1084,180,444
34,122,444
2051,150,40
3323,120,444
8795025,100,265
670,140,444
1,122,445
2023904,110,265
138,70,442
37,60,444
1318,220,39
13,130,444
6,80,442
2,220,443
175,110,442
56,100,442
298,90,442
2247,140,40
19,122,442
31,153,38
238897,152,265
20637,201,38
10426,152,267
453382,160,265
24,220,267
1963,152,268
41,140,266
1596042,210,461
434246,200,461
1048407,150,461
376366,220,461
13248,160,267
79604371,80,265
3252679,180,461
250102,140,461
172106,190,37
32139,80,267
176842,190,265
11872,180,38
12927,80,268
118,200,465
6377531,120,37
843980,120,461
