COUNTRY_ID,PIXELS
1,3421
2,10
3,4170
4,127
5,4392
6,46884
7,92
8,14
9,175
10,89
11,12246
12,256
13,2503
14,17
15,17336
16,1265
17,54115
18,1545270
19,865
20,4
21,14
22,356718
23,35187
24,36
25,336858
26,1116
27,58
28,20
29,360353
30,3491
31,509
32,1781819
33,1708
34,76635
35,32019700
36,154044103
37,160057358
38,1369346
39,743415
40,31074
41,1778634
42,374381
43,873866
44,19423
45,591
46,183772
47,33466
48,871
49,36784
50,45694267
51,7906
52,11196722
53,1274
54,118339
55,43047
56,196
57,4053207
58,141
59,21272268
60,6598381
61,2918074
62,1992
63,85
64,17825316
65,139013386
66,182779
67,58870
68,6293
69,97
70,203948805
71,48090
72,1085
73,30638
74,306722
75,3972
76,40687
77,579
78,6937
79,9
80,839327
81,2505
82,107
83,18422
84,726782
85,442
86,481270
87,6410
88,438
89,2105754
90,1837159
91,6061
92,73
93,1504
94,113
95,4554
96,4
97,896
98,30
99,181056
100,86
101,33
102,18692913
103,22049
104,464
105,14725578
106,79707
107,11314
108,428806
109,4695
110,40
111,3001
112,4705
113,7199
114,2
115,790221
116,2639
117,30
118,143666
119,3906
120,115
121,650
122,36460
123,2551
124,23475
125,1760383
126,111925
127,39277
128,2071
129,65352
130,16224
131,118
132,184620
133,79609
134,3461206
135,3845
136,92
137,2385046
138,954
139,58
140,12423
141,5878
142,29
143,18361
144,10
145,39
146,10113
147,3
148,5748
149,741
150,52
151,5285
152,13
153,5894
154,70
155,1337
156,29
157,4606
158,2539
159,30
160,2690
161,55
162,1657
163,237
164,381
165,18
166,380
167,4395
169,882
170,24
171,6
172,640
173,1
174,23888
175,3246
176,37
177,7162
178,1369719
179,973
180,113
181,1020
182,33
183,3721
184,3
185,170464
186,5887
187,398962
188,43262
189,10362
190,13772
191,13
192,38985
193,17147
194,58
195,22
196,34
197,2798
198,214
199,1187795
200,4011765
201,32118
202,205
203,267
204,12
205,19323
206,206
207,4409
208,73
209,9
210,523052
211,174704
212,3194354
213,1134
214,98
215,1577780
216,5279952
217,3928140
218,425
219,85
220,933647
221,641
222,4511147
223,20621919
224,123617
225,17100903
226,17
227,28
228,13494
229,11132946
230,1459301
231,1037
232,72
233,110
234,563
235,11
236,8123859
237,184
238,12
239,236155
240,34899963
241,2461
242,970837
243,1438
244,15
245,2061
246,7
247,508396
248,13429
249,5795
250,1150262
251,596
252,9502
253,45
255,1318
256,3839881
257,58310
258,137986
259,1683334
260,599
261,1715
262,6199
263,17107
264,3
265,211327253
266,6010
267,492635
268,626764
269,6302
270,625905
271,130829
272,835
274,5846
275,13570618
276,96
277,36
278,16289
279,317
280,39
281,16
282,734
283,14078
284,2408
285,22
286,31078
287,357
288,4276621
289,20528551
290,3295
291,143
292,96
293,5635959
294,2923
295,38342786
296,119
297,20078852
298,503186
299,9519066
300,285964
301,6432516
302,12924967
303,792
304,12368238
305,1951014
306,441831
307,416774
308,16823
309,10684
310,31
311,6421
312,28
313,19690
314,88
315,15476263
316,13899
317,320
318,9600778
319,5194
320,150
321,5993
322,11
323,9698063
324,20263
325,1203
326,41402
327,129021
328,347
329,30979
330,2298
331,105
332,3237
333,4647
334,200
335,72
336,885
337,108
338,13377
339,97813
340,307
341,77
342,1896905
343,36
344,11754
345,139
346,39
347,440459
348,14837947
349,19446496
350,7643941
351,10212249
352,20922427
353,38084579
354,30
355,80937
356,2542261
357,11448
358,85
359,26612817
360,11
361,5362
362,23
363,3976350
364,10414680
365,30796830
366,18589990
367,588
368,1972392
369,10919
370,356704
371,82
372,51
373,11368
374,479
375,8528
376,15199076
377,2764
378,67
379,996409
380,152588
381,7
382,416
383,47
384,1529
385,250
386,19678
387,855
388,31680147
